clip_id,timestamp,comments
FrozenAgitatedGooseSpicyBoy,2019-05-08 15:32:57,역시 본점이 짱이다
FrozenAgitatedGooseSpicyBoy,2019-05-08 15:32:57,킹빠
FrozenAgitatedGooseSpicyBoy,2019-05-08 15:32:57,어우
FrozenAgitatedGooseSpicyBoy,2019-05-08 15:32:58,북정잉ㅋㅋㅋㅋㅋㅋ
FrozenAgitatedGooseSpicyBoy,2019-05-08 15:32:58,잉정은 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
FrozenAgitatedGooseSpicyBoy,2019-05-08 15:32:59,잉스터콜
FrozenAgitatedGooseSpicyBoy,2019-05-08 15:32:59,깜짝이야
FrozenAgitatedGooseSpicyBoy,2019-05-08 15:32:59,소리
ObliviousReliableBeanNerfBlueBlaster,2019-05-09 02:10:59,왕순무 결국 잡혔네ㅠㅠ
ObliviousReliableBeanNerfBlueBlaster,2019-05-09 02:11:07,ㅈ..ㅅ..
ObliviousReliableBeanNerfBlueBlaster,2019-05-09 02:11:11,작업장이네 그럼
ObliviousReliableBeanNerfBlueBlaster,2019-05-09 02:11:11,자동도잇나
ObliviousReliableBeanNerfBlueBlaster,2019-05-09 02:11:12,자동화찍음 채굴기둥세울수잇음
ObliviousReliableBeanNerfBlueBlaster,2019-05-09 02:11:13,나중 아님?
ObliviousReliableBeanNerfBlueBlaster,2019-05-09 02:11:15,산업 쭉 올리면 기계있음
ObliviousReliableBeanNerfBlueBlaster,2019-05-09 02:11:23,아직 한참 멀었네
ObliviousReliableBeanNerfBlueBlaster,2019-05-09 02:11:25,저거 꺼졌는데?
ObliviousReliableBeanNerfBlueBlaster,2019-05-09 02:11:29,다다음일듯
ObliviousReliableBeanNerfBlueBlaster,2019-05-09 02:11:30,자리차지?
ObliviousReliableBeanNerfBlueBlaster,2019-05-09 02:11:31,채광기둥
ObliviousReliableBeanNerfBlueBlaster,2019-05-09 02:11:31,아직 1차 산업의 행복을 느끼게 해주십셔.....
ObliviousReliableBeanNerfBlueBlaster,2019-05-09 02:11:32,ㅋ
ObliviousReliableBeanNerfBlueBlaster,2019-05-09 02:11:37,자리차지 ㅗㅜㅑ
ObliviousReliableBeanNerfBlueBlaster,2019-05-09 02:11:41,자리차지는 ㅗㅜㅑ
ObliviousReliableBeanNerfBlueBlaster,2019-05-09 02:11:42,안돼 안돼
ObliviousReliableBeanNerfBlueBlaster,2019-05-09 02:11:43,?
ObliviousReliableBeanNerfBlueBlaster,2019-05-09 02:11:43,?
ObliviousReliableBeanNerfBlueBlaster,2019-05-09 02:11:43,?
ObliviousReliableBeanNerfBlueBlaster,2019-05-09 02:11:43,?
ObliviousReliableBeanNerfBlueBlaster,2019-05-09 02:11:43,?
ObliviousReliableBeanNerfBlueBlaster,2019-05-09 02:11:44,ㅋㅋㅋㅋㅋ
ObliviousReliableBeanNerfBlueBlaster,2019-05-09 02:11:44,?
ObliviousReliableBeanNerfBlueBlaster,2019-05-09 02:11:45,??
ObliviousReliableBeanNerfBlueBlaster,2019-05-09 02:11:45,ㅗㅜㅑ
ObliviousReliableBeanNerfBlueBlaster,2019-05-09 02:11:45,?
ObliviousReliableBeanNerfBlueBlaster,2019-05-09 02:11:45,?
ObliviousReliableBeanNerfBlueBlaster,2019-05-09 02:11:46,?
ObliviousReliableBeanNerfBlueBlaster,2019-05-09 02:11:46,?
ObliviousReliableBeanNerfBlueBlaster,2019-05-09 02:11:46,?
ObliviousReliableBeanNerfBlueBlaster,2019-05-09 02:11:47,너도야?
ObliviousReliableBeanNerfBlueBlaster,2019-05-09 02:11:48,?
ObliviousReliableBeanNerfBlueBlaster,2019-05-09 02:11:48,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
ObliviousReliableBeanNerfBlueBlaster,2019-05-09 02:11:49,?
ObliviousReliableBeanNerfBlueBlaster,2019-05-09 02:11:49,ㅅㄱ
ObliviousReliableBeanNerfBlueBlaster,2019-05-09 02:11:50,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
ObliviousReliableBeanNerfBlueBlaster,2019-05-09 02:11:50,너도네
ObliviousReliableBeanNerfBlueBlaster,2019-05-09 02:11:50,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
ObliviousReliableBeanNerfBlueBlaster,2019-05-09 02:11:51,말을왜 거기까지해 ㅋㅋㅋㅋㅋㅋ
ObliviousReliableBeanNerfBlueBlaster,2019-05-09 02:11:52,ㅇ ㄴㄷ?
ObliviousReliableBeanNerfBlueBlaster,2019-05-09 02:11:52,ㅅㄱ
ObliviousReliableBeanNerfBlueBlaster,2019-05-09 02:11:52,ㅋㅋㅋㅋㅋㅋㅋㅋ
ObliviousReliableBeanNerfBlueBlaster,2019-05-09 02:11:53,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
ObliviousReliableBeanNerfBlueBlaster,2019-05-09 02:11:55,클립 수고
ObliviousReliableBeanNerfBlueBlaster,2019-05-09 02:11:55,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
ObliviousReliableBeanNerfBlueBlaster,2019-05-09 02:11:55,ㅅㄱㄹ~
ObliviousReliableBeanNerfBlueBlaster,2019-05-09 02:11:55,자리랑 차지가 합쳐져서 뭐라고 한거야
ObliviousReliableBeanNerfBlueBlaster,2019-05-09 02:11:56,같이포함하네
FunnyGeniusApeDansGame,2019-05-08 14:16:06,ㅋㅋㅋㅋㅋ오줌컴
FunnyGeniusApeDansGame,2019-05-08 14:16:06,트게더 아프네
FunnyGeniusApeDansGame,2019-05-08 14:16:07,혹시 AMD?
FunnyGeniusApeDansGame,2019-05-08 14:16:08,쯔컴..
FunnyGeniusApeDansGame,2019-05-08 14:16:08,똥컴 o n
FunnyGeniusApeDansGame,2019-05-08 14:16:09,트위치나 트게더나 잇스보다는 크롬으로 하시는거추천드립니다
FunnyGeniusApeDansGame,2019-05-08 14:16:09,삐빅 똥컴입니다
